,id,satno,cosparId,objectClass,mass,xSectAvg
16326,44614,44614.0,2017-072E,Rocket Mission Related Object,,
16327,44615,44615.0,2018-015L,Rocket Mission Related Object,1.0,0.0254160184615763
16328,44616,44616.0,2018-031K,Rocket Mission Related Object,,
16329,44617,44617.0,2018-034J,Rocket Mission Related Object,,
16330,44618,44618.0,2018-034K,Rocket Mission Related Object,,
16331,44619,44619.0,2018-048F,Rocket Mission Related Object,1.0,0.0254160184615763
16332,44620,44620.0,2018-084R,Rocket Fragmentation Debris,,
16333,44621,44621.0,2019-039F,Payload Fragmentation Debris,,
16334,44622,44622.0,2019-066A,Payload,3000.0,10.846
16335,44623,44623.0,2019-066B,Rocket Body,1000.0,7.67569625088326
16336,44624,44624.0,2019-067A,Payload,2864.0,28.2213
16337,44625,44625.0,2019-067B,Payload,2326.0,30.7133
16338,44626,44626.0,2019-067C,Rocket Body,2370.0,14.451326206513
16339,44627,44627.0,2019-067D,Rocket Mission Related Object,1000.0,8.21789806830189
16340,44628,44628.0,2019-068A,Payload,288.0,2.6239
16341,44629,44629.0,2019-068B,Rocket Body,202.0,1.38128956744413
16342,44631,44631.0,2019-039H,Payload Fragmentation Debris,,
16343,44632,44632.0,2019-039J,Payload Fragmentation Debris,,
16344,44633,44633.0,2019-039K,Payload Fragmentation Debris,,
16345,44634,44634.0,2019-069A,Payload,40.0,0.1
16346,44635,44635.0,2019-069B,Rocket Body,250.0,2.82743338823081
16347,44636,44636.0,2019-069C,Rocket Body,100.0,
16348,44637,44637.0,2019-070A,Payload,4000.0,35.4033
16349,44638,44638.0,2019-070B,Rocket Body,2800.0,33.7642670444563
16350,44640,44640.0,2019-039L,Payload Fragmentation Debris,,
16351,44641,44641.0,2019-039M,Payload Fragmentation Debris,,
16352,44642,44642.0,2018-079C,Rocket Fragmentation Debris,,
16353,44643,44643.0,2018-079D,Rocket Fragmentation Debris,,
16354,44644,44644.0,2018-079E,Rocket Fragmentation Debris,,
16355,44645,44645.0,2018-079F,Rocket Fragmentation Debris,,
16356,44646,44646.0,2018-079G,Rocket Fragmentation Debris,,
16357,44647,44647.0,2018-079H,Rocket Fragmentation Debris,,
16358,44648,44648.0,2018-079J,Rocket Fragmentation Debris,,
16359,44649,44649.0,2018-079K,Rocket Fragmentation Debris,,
16360,44650,44650.0,2018-079L,Rocket Fragmentation Debris,,
16361,44651,44651.0,2018-079M,Rocket Fragmentation Debris,,
16362,44652,44652.0,2018-079N,Rocket Fragmentation Debris,,
16363,44653,44653.0,2018-079P,Rocket Fragmentation Debris,,
16364,44654,44654.0,2018-079Q,Rocket Fragmentation Debris,,
16365,44655,44655.0,2018-079R,Rocket Fragmentation Debris,,
16366,44656,44656.0,2018-079S,Rocket Fragmentation Debris,,
16367,44658,44658.0,2018-079U,Rocket Fragmentation Debris,,
16368,44659,44659.0,2018-079V,Rocket Fragmentation Debris,,
16369,44660,44660.0,2018-079W,Rocket Fragmentation Debris,,
16370,44661,44661.0,2018-079X,Rocket Fragmentation Debris,,
16371,44662,44662.0,2018-079Y,Rocket Fragmentation Debris,,
16372,44663,44663.0,2018-079Z,Rocket Fragmentation Debris,,
16373,44664,44664.0,2018-079AA,Rocket Fragmentation Debris,,
16374,44665,44665.0,2018-079AB,Rocket Fragmentation Debris,,
16375,44666,44666.0,2018-079AC,Rocket Fragmentation Debris,,
16376,44667,44667.0,2018-079AD,Rocket Fragmentation Debris,,
16377,44668,44668.0,2018-079AE,Rocket Fragmentation Debris,,
16378,44670,44670.0,2018-079AG,Rocket Fragmentation Debris,,
16379,44671,44671.0,2018-079AH,Rocket Fragmentation Debris,,
16380,44673,44673.0,2018-079AK,Rocket Fragmentation Debris,,
16381,44674,44674.0,2018-079AL,Rocket Fragmentation Debris,,
16382,44675,44675.0,2018-079AM,Rocket Fragmentation Debris,,
16383,44676,44676.0,2018-079AN,Rocket Fragmentation Debris,,
16384,44677,44677.0,2018-079AP,Rocket Fragmentation Debris,,
16385,44678,44678.0,2018-079AQ,Rocket Fragmentation Debris,,
16386,44679,44679.0,2018-079AR,Rocket Fragmentation Debris,,
16387,44680,44680.0,2018-079AS,Rocket Fragmentation Debris,,
16388,44681,44681.0,2018-079AT,Rocket Fragmentation Debris,,
16389,44682,44682.0,2018-079AU,Rocket Fragmentation Debris,,
16390,44683,44683.0,2018-079AV,Rocket Fragmentation Debris,,
16391,44684,44684.0,2018-079AW,Rocket Fragmentation Debris,,
16392,44685,44685.0,2018-079AX,Rocket Fragmentation Debris,,
16393,44686,44686.0,2018-079AY,Rocket Fragmentation Debris,,
16394,44687,44687.0,2018-079AZ,Rocket Fragmentation Debris,,
16395,44688,44688.0,2018-079BA,Rocket Fragmentation Debris,,
16396,44689,44689.0,2018-079BB,Rocket Fragmentation Debris,,
16397,4468,4468.0,1969-082FM,Rocket Fragmentation Debris,,
16398,44690,44690.0,2018-079BC,Rocket Fragmentation Debris,,
16399,44691,44691.0,2018-079BD,Rocket Fragmentation Debris,,
16400,44692,44692.0,2018-079BE,Rocket Fragmentation Debris,,
16401,44693,44693.0,2018-079BF,Rocket Fragmentation Debris,,
16402,44694,44694.0,2018-079BG,Rocket Fragmentation Debris,,
16403,44696,44696.0,1982-096C,Payload Debris,,
16404,44697,44697.0,1988-005BA,Payload Fragmentation Debris,,
16405,44698,44698.0,1990-086C,Payload Debris,,
16406,44699,44699.0,1990-086D,Payload Debris,,
16407,446,446.0,1962-060A,Payload,159.56,0.9769
16408,44700,44700.0,1990-086E,Payload Debris,,
